date,sentiment,stock_open,stock_close,stock_high,stock_low,stock_volume,headline
2022-10-31,negative,295.1300048828125,291.8800048828125,297.6199951171875,289.5,7505100.0,Opinion | I Spoil Netflix’s Nuclear War Movie; WWE RAW (10/20) Ranks No. 6 Worldwide On Netflix With 2.6 Million Global Views; 5 Movies to Watch Before They Leave Netflix
2022-10-31,neutral,295.1300048828125,291.8800048828125,297.6199951171875,289.5,7505100.0,Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-10-31,positive,295.1300048828125,291.8800048828125,297.6199951171875,289.5,7505100.0,"Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; Netflix's Squid Game: The Challenge season 2 release date, cast and trailer"
2022-11-01,negative,296.1700134277344,286.75,299.70001220703125,286.4200134277344,6916400.0,5 Movies to Watch Before They Leave Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie
2022-11-01,neutral,296.1700134277344,286.75,299.70001220703125,286.4200134277344,6916400.0,Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-01,positive,296.1700134277344,286.75,299.70001220703125,286.4200134277344,6916400.0,Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island
2022-11-02,negative,286.3999938964844,273.0,287.3299865722656,272.8399963378906,10367600.0,5 Movies to Watch Before They Leave Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie
2022-11-02,neutral,286.3999938964844,273.0,287.3299865722656,272.8399963378906,10367600.0,Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-02,positive,286.3999938964844,273.0,287.3299865722656,272.8399963378906,10367600.0,Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island
2022-11-03,negative,271.25,269.0599975585937,276.2900085449219,268.79998779296875,7057400.0,5 Movies to Watch Before They Leave Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie
2022-11-03,neutral,271.25,269.0599975585937,276.2900085449219,268.79998779296875,7057400.0,Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-03,positive,271.25,269.0599975585937,276.2900085449219,268.79998779296875,7057400.0,Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island
2022-11-04,negative,272.0199890136719,260.7900085449219,274.9700012207031,255.32000732421875,11124700.0,5 Movies to Watch Before They Leave Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie
2022-11-04,neutral,272.0199890136719,260.7900085449219,274.9700012207031,255.32000732421875,11124700.0,Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-04,positive,272.0199890136719,260.7900085449219,274.9700012207031,255.32000732421875,11124700.0,Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island
